step,transactions,fraud_transactions,fraud_rate,total_amount,avg_amount
1,2708,16,0.005908419497784343,285429181.15,105402.20869645494
2,1014,8,0.007889546351084813,85921604.02,84735.30968441814
3,552,4,0.007246376811594203,43293884.42,78430.9500362319
4,565,10,0.017699115044247787,72910028.57,129044.29835398229
5,665,6,0.009022556390977444,45548089.75,68493.36804511279
6,1660,22,0.01325301204819277,164310551.22,98982.25977108434
7,6837,12,0.0017551557700745941,832930814.24,121826.9437238555
8,21097,12,0.000568801251362753,3439602407.35,163037.51279091815
9,37628,19,0.0005049431274582757,7008379239.43,186254.3648195493
10,35991,11,0.0003056319635464422,7124214893.71,197944.34424467228
11,37241,7,0.0001879648774200478,7015066478.01,188369.44437609086
12,36153,14,0.00038724310568970764,6754284804.75,186825.0160360136
13,37515,14,0.00037318405970944955,6847540999.97,182528.08209969345
14,41485,12,0.0002892611787393034,6874186933.62,165702.95127443655
15,44609,20,0.000448340021071981,7183723206.53,161037.53068954695
16,42471,10,0.00023545478090932637,6960084691.15,163878.52160650797
17,43361,7,0.0001614353912502018,7116325732.27,164118.1184075552
18,49579,16,0.0003227172794933339,7255071578.26,146333.5601415922
19,51352,11,0.00021420782053279327,7103846529.97,138336.31659857454
20,40625,4,9.846153846153846e-05,5173930961.93,127358.30060135385
21,19152,5,0.0002610693400167084,2239833155.38,116950.35272451965
22,12635,23,0.0018203403244954491,1456148844.67,115247.23740957658
23,6144,2,0.0003255208333333333,657117971.23,106952.79479654948
24,3216,6,0.0018656716417910447,392163044.05,121941.24504042289
25,1598,18,0.011264080100125156,190670809.59,119318.40399874844
26,440,12,0.02727272727272727,53827747.85,122335.79056818182
27,41,8,0.1951219512195122,10549062.83,257294.21536585366
28,4,4,1.0,8647152.219999999,2161788.0549999997
29,4,4,1.0,1217680.46,304420.115
30,8,8,1.0,975200.92,121900.115
31,12,12,1.0,12927128.040000001,1077260.6700000002
32,12,12,1.0,9361820.08,780151.6733333333
33,23616,12,0.0005081300813008131,4235326534.63,179341.4013647527
34,30904,22,0.0007118819570282164,5510123134.35,178298.05637943308
35,29157,15,0.000514456219775697,5295843667.35,181631.9809085297
36,39774,19,0.00047769899934630664,6832213559.91,171775.87267838285
37,34000,13,0.0003823529411764706,5962020479.16,175353.54350470589
38,31453,16,0.0005086955139414365,5242347779.47,166672.4248710775
39,23391,12,0.0005130178273695011,3777663323.28,161500.71922021292
40,34270,14,0.0004085205719288007,5610763049.04,163722.29498220017
41,36348,12,0.0003301419610432486,5788068602.39,159240.35992049082
42,41304,14,0.0003389502227387178,6360574481.6,153994.15266318034
43,45060,13,0.00028850421660008875,6511754245.67,144512.96594917888
44,38523,8,0.00020766814630220908,4830178103.07,125384.26662175842
45,18500,16,0.0008648648648648649,2159618105.61,116736.11381675677
46,12445,14,0.001124949779027722,1396954333.96,112250.24780715146
47,8681,21,0.0024190761433014627,896077856.93,103222.88410666974
48,5693,10,0.001756543123133673,540938538.75,95018.18702792903
49,764,4,0.005235602094240838,54845905.75,71787.8347513089
50,6,6,1.0,3345118.94,557519.8233333334
51,14,14,1.0,8313333.94,593809.5671428571
52,8,8,1.0,19349931.92,2418741.49
53,10,10,1.0,12617901.54,1261790.1539999999
54,4,4,1.0,3577598.3600000003,894399.5900000001
55,12,12,1.0,4969150.82,414095.9016666667
56,18,18,1.0,21799570.76,1211087.2644444446
57,6,6,1.0,3053734.92,508955.82
58,20,20,1.0,40832628.86,2041631.443
59,20,20,1.0,25707837.72,1285391.886
60,12,12,1.0,5051824.6,420985.3833333333
61,14,14,1.0,10326374.76,737598.1971428571
62,8,8,1.0,4512316.5600000005,564039.5700000001
63,8,8,1.0,4106789.76,513348.72
64,18,18,1.0,14681327.959999999,815629.3311111111
65,20,20,1.0,16326827.82,816341.3910000001
66,24,24,1.0,43525991.12,1813582.9633333331
67,6,6,1.0,2354600.56,392433.4266666667
68,18,18,1.0,29882358.080000002,1660131.0044444446
69,20,20,1.0,41458369.28,2072918.4640000002
70,6,6,1.0,2941247.94,490207.99
71,20,20,1.0,13655351.44,682767.5719999999
72,14,14,1.0,59848379.22,4274884.2299999995
73,8,8,1.0,2582474.42,322809.3025
74,22,22,1.0,33794195.06,1536099.7754545456
75,8,8,1.0,5970615.06,746326.8825
76,4,4,1.0,4152727.08,1038181.77
77,10,10,1.0,35925500.0,3592550.0
78,10,10,1.0,11208144.9,1120814.49
79,10,10,1.0,6261606.14,626160.614
80,10,10,1.0,2992622.6,299262.26
81,10,10,1.0,10202118.94,1020211.894
82,10,10,1.0,35812474.28,3581247.4280000003
83,12,12,1.0,10608310.4,884025.8666666667
84,16,16,1.0,36611285.98,2288205.37375
85,14,14,1.0,25618937.119999997,1829924.0799999998
86,18,18,1.0,53565564.56,2975864.697777778
87,6,6,1.0,2627321.58,437886.93
88,8,8,1.0,34628042.4,4328505.3
89,6,6,1.0,2157581.12,359596.85333333333
90,16,16,1.0,20774510.34,1298406.89625
91,8,8,1.0,4339885.1,542485.6375
92,10,10,1.0,3754118.7600000002,375411.87600000005
93,4444,16,0.0036003600360036,608142230.27,136845.68637938795
94,10372,12,0.0011569610489780178,1286675245.1200001,124052.76177400695
95,6858,14,0.002041411490230388,853594039.56,124466.90573928258
96,6350,4,0.0006299212598425197,738547809.8,116306.74170078739
97,685,10,0.014598540145985401,74683514.7,109027.02875912409
98,14,14,1.0,12891419.98,920815.7128571429
99,8,8,1.0,13044113.8,1630514.225
100,6,6,1.0,3013658.28,502276.37999999995
101,12,12,1.0,12062241.02,1005186.7516666666
102,12,12,1.0,6442999.619999999,536916.6349999999
103,8,8,1.0,5482907.76,685363.47
104,14,14,1.0,7764539.0,554609.9285714285
105,18,18,1.0,15487769.299999999,860431.6277777777
106,18,18,1.0,12407586.84,689310.38
107,10,10,1.0,5062020.640000001,506202.0640000001
108,8,8,1.0,15526032.360000001,1940754.0450000002
109,12,12,1.0,8388165.9399999995,699013.8283333333
110,10,10,1.0,8845515.58,884551.558
111,10,10,1.0,11801388.46,1180138.8460000001
112,2,2,1.0,84837.7,42418.85
113,6,6,1.0,3976999.1,662833.1833333333
114,4,4,1.0,7748974.38,1937243.595
115,10,10,1.0,7226221.720000001,722622.172
116,14,14,1.0,16376396.78,1169742.627142857
117,12,12,1.0,13355288.92,1112940.7433333334
118,12,12,1.0,33446321.98,2787193.4983333335
119,5740,10,0.0017421602787456446,652470324.75,113670.78828397213
120,3144,12,0.003816793893129771,377544600.44,120084.16044529263
121,1074,14,0.01303538175046555,111898438.66,104188.49037243947
122,414,14,0.033816425120772944,63367833.74,153062.40033816427
123,52,6,0.11538461538461539,22572340.19,434083.4651923077
124,4,4,1.0,22077380.04,5519345.01
125,10,10,1.0,18369419.18,1836941.918
126,6,6,1.0,14855403.24,2475900.54
127,14,14,1.0,22089204.56,1577800.3257142857
128,8,8,1.0,15992485.52,1999060.69
129,21986,6,0.00027290093695988356,4391391782.56,199735.8220030929
130,32890,6,0.00018242626938279113,6698931223.32,203676.8386536941
131,36375,16,0.00043986254295532644,6783763408.09,186495.21396810998
132,35936,10,0.00027827248441674086,6687443284.34,186093.1457129341
133,35147,10,0.0002845193046348195,6475193394.21,184231.75218966056
134,32391,10,0.0003087277330122565,5611630988.64,173246.61136241548
135,27556,8,0.00029031789809841774,4825611448.52,175120.17159674846
136,30340,10,0.0003295978905735003,5402422002.03,178062.68958569545
137,32559,12,0.0003685616880125311,5123734992.96,157367.70149451765
138,31422,4,0.0001272993444083763,4430204695.77,140990.5383416078
139,46054,4,8.685456203587093e-05,6807832968.0,147822.83771225082
140,37012,14,0.00037825570085377717,4940313493.58,133478.69592510536
141,16434,8,0.0004867956675185591,2084368981.78,126832.7237300718
142,12189,8,0.0006563294773976536,1546712100.15,126894.0930470096
143,7609,16,0.0021027730319358655,931760710.67,122455.08091339203
144,3523,10,0.002838489923360772,377448388.59,107138.3447601476
145,1117,14,0.012533572068039392,113049826.98,101208.43955237242
146,522,10,0.019157088122605363,66316130.03,127042.3946934866
147,84,6,0.07142857142857142,20314127.37,241834.84964285715
148,12,12,1.0,10802770.02,900230.835
149,22,22,1.0,42013551.06,1909706.8663636365
150,14,14,1.0,14014584.440000001,1001041.7457142858
151,18,18,1.0,10203595.36,566866.4088888889
152,6,6,1.0,5335020.24,889170.04
153,19475,10,0.0005134788189987163,3684861307.08,189209.82321335044
154,29241,10,0.00034198556820902155,5375430913.09,183831.97951814233
155,29927,8,0.00026731713837003374,5606061971.16,187324.55545694524
156,27603,18,0.0006521030322791001,4960414720.23,179705.63780132594
157,29764,16,0.0005375621556242441,5050314367.42,169678.6173706491
158,27839,8,0.00028736664391680735,4789734067.88,172051.22554258414
159,27561,10,0.00036283153731722363,4573981952.64,165958.49035376078
160,27765,26,0.0009364307581487485,4657390938.93,167743.23568989735
161,33049,14,0.0004236134224938727,5387907144.99,163027.8418406003
162,40622,10,0.00024617202501107775,6199143085.37,152605.56066589532
163,46352,8,0.00017259233690024162,6710359139.23,144769.57065994994
164,39102,14,0.00035803795202291446,4981351201.62,127393.7701810649
165,16542,4,0.00024180872929512756,2053484812.33,124137.63827409019
166,12176,6,0.0004927726675427069,1382688727.46,113558.53543528252
167,7946,6,0.0007550969041026932,933051702.08,117424.0752680594
168,3824,2,0.0005230125523012552,442551927.76,115730.10663179916
169,1464,10,0.006830601092896175,136069265.33,92943.48724726777
170,529,16,0.030245746691871456,82260708.29,155502.2841020794
171,14,14,1.0,30834521.240000002,2202465.802857143
172,10,10,1.0,7312840.08,731284.008
173,14,14,1.0,27327876.34,1951991.167142857
174,10,10,1.0,6161251.8,616125.1799999999
175,8,8,1.0,2700000.9000000004,337500.11250000005
176,10,10,1.0,3362807.26,336280.72599999997
177,17336,18,0.0010383017997231195,3047457482.65,175787.81048973236
178,28204,14,0.0004963834917033045,5861954398.26,207841.24231527443
179,30534,8,0.0002620030130346499,5115943490.93,167549.07614233316
180,31481,10,0.00031765191702931925,5639808481.31,179149.59757663353
181,31749,11,0.0003464676052789064,5681319969.67,178944.84770134493
182,31900,8,0.00025078369905956113,5233469114.49,164058.592930721
183,31199,16,0.0005128369499022404,4692443326.21,150403.64518766626
184,32175,8,0.00024864024864024864,5061974882.0,157326.33665889665
185,37323,16,0.00042869008386249764,6153894465.29,164882.09590038314
186,43747,17,0.00038859807529659175,6531302921.01,149297.1614284408
187,49083,10,0.00020373652792209115,7391259249.56,150586.94964773956
188,39079,10,0.0002558919112566852,4675322824.45,119637.7293290514
189,17674,10,0.0005658028742786014,2001807262.67,113262.83029704652
190,12669,8,0.0006314626253058647,1350395827.22,106590.56178230327
191,9111,12,0.0013170892327955218,886835789.38,97336.82245417628
192,4314,10,0.0023180343069077423,409379744.14,94895.62914696337
193,1511,8,0.005294506949040371,136595891.1,90400.98682991396
194,671,12,0.01788375558867362,58442261.13,87097.25950819673
195,141,10,0.07092198581560284,20572775.97,145906.2125531915
196,8,8,1.0,4998965.9399999995,624870.7424999999
197,4,4,1.0,4894973.5,1223743.375
198,12,12,1.0,39553204.839999996,3296100.403333333
199,10,10,1.0,10151804.44,1015180.4439999999
200,8,8,1.0,26179145.6,3272393.2
201,17963,8,0.00044535990647441966,2444701645.21,136096.5120085732
202,31949,2,6.259976838085699e-05,4604339087.28,144115.28020532723
203,36176,8,0.00022114108801415304,5277176879.03,145875.0795839783
204,36856,6,0.00016279574560451487,5284768973.08,143389.65088669417
205,33549,16,0.00047691436406450266,5365333264.48,159925.28136397508
206,29777,12,0.00040299560063135977,4206648534.99,141271.73775027704
207,28288,6,0.00021210407239819005,4078718390.73,144185.46347320417
208,29058,21,0.0007226925459425976,4081255354.45,140452.03917853947
209,30372,6,0.00019755037534571315,4141703465.12,136365.8456841828
210,33004,8,0.00024239486122894195,4369134560.91,132381.9706977942
211,36889,14,0.000379516929165876,4763104506.09,129119.91396053025
212,34047,40,0.001174846535671278,4386135424.32,128825.90020618556
213,14775,8,0.0005414551607445009,1876024774.84,126972.91200270726
214,10746,12,0.0011166945840312675,1331914190.0,123945.11353061604
215,7975,10,0.0012539184952978057,1040812156.91,130509.36136802507
216,4130,6,0.0014527845036319612,514605168.46,124601.73570460048
217,3347,16,0.004780400358530027,412718375.86,123309.94199581715
218,12,12,1.0,22237883.98,1853156.9983333333
219,10,10,1.0,8562844.34,856284.434
220,6,6,1.0,9687097.08,1614516.18
221,10,10,1.0,5286186.14,528618.614
222,8,8,1.0,5949300.24,743662.53
223,8,8,1.0,6587448.4799999995,823431.0599999999
224,10,10,1.0,20234992.58,2023499.258
225,18366,12,0.0006533812479581836,3585708429.11,195236.22068550583
226,27522,12,0.0004360148245040331,6125641173.05,222572.53008683963
