step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
180,CASH_OUT,114664.45,C1911904419,0.0,0.0,C763019604,163667.97,278332.42,0,0
35,CASH_OUT,15740.84,C2009416105,0.0,0.0,C1391458307,772346.04,788086.88,0,0
403,PAYMENT,19355.33,C971312477,12231.0,0.0,M1617207043,0.0,0.0,0,0
18,CASH_OUT,160747.9,C1324033502,842914.33,682166.43,C849757077,1038016.75,859475.31,0,0
35,PAYMENT,22804.93,C1774451797,0.0,0.0,M766297664,0.0,0.0,0,0
202,CASH_OUT,235293.12,C315104891,0.0,0.0,C1554518958,2281827.79,2517120.91,0,0
154,PAYMENT,1926.85,C1461463577,607.0,0.0,M1655432737,0.0,0.0,0,0
548,PAYMENT,20893.61,C1559628592,25118.0,4224.39,M1474350595,0.0,0.0,0,0
329,CASH_IN,55659.42,C439318842,9784547.17,9840206.59,C140305159,461082.39,405422.97,0,0
643,CASH_OUT,4222595.06,C4856718,4222595.06,0.0,C488060391,0.0,4222595.06,1,0
254,CASH_IN,253354.54,C1109631708,414.0,253768.54,C24017496,1717149.08,1463794.54,0,0
41,CASH_OUT,217817.68,C857688420,145883.0,0.0,C1293789504,3054273.54,2916271.7,0,0
20,PAYMENT,26092.47,C2077003305,0.0,0.0,M1284359081,0.0,0.0,0,0
44,CASH_OUT,189854.19,C1797158870,296646.24,106792.04,C1006945070,336072.28,525926.47,0,0
186,CASH_OUT,11330.33,C1486725651,0.0,0.0,C147850443,2386761.73,2398092.06,0,0
211,CASH_IN,253516.43,C1969610061,2055421.6,2308938.03,C1174703232,3241906.28,2988389.85,0,0
34,CASH_OUT,4740.25,C567587096,0.0,0.0,C9874612,486820.52,301703.03,0,0
324,CASH_OUT,344139.61,C99418574,0.0,0.0,C115059904,4783085.83,5319654.07,0,0
426,PAYMENT,9805.27,C1912229968,22576.0,12770.73,M1292980625,0.0,0.0,0,0
590,PAYMENT,15148.21,C1203791344,0.0,0.0,M1506737086,0.0,0.0,0,0
538,PAYMENT,7692.38,C928117265,710403.95,702711.58,M1874103067,0.0,0.0,0,0
158,CASH_IN,22711.57,C1476762524,60369.0,83080.57,C695009950,125364.63,102653.06,0,0
155,CASH_IN,213337.48,C1609125232,1236.0,214573.48,C930473481,208205.93,0.0,0,0
235,TRANSFER,453979.26,C2138802018,0.0,0.0,C910207716,1084001.21,1537980.47,0,0
380,CASH_OUT,109185.69,C500327400,31486.0,0.0,C447478874,314461.12,423646.81,0,0
260,PAYMENT,17755.41,C1913482098,0.0,0.0,M533565320,0.0,0.0,0,0
305,CASH_OUT,115856.85,C1569833841,243620.0,127763.15,C1161264906,5460868.46,5576725.31,0,0
14,CASH_IN,57680.04,C523217788,322329.0,380009.04,C180720689,43.0,473340.48,0,0
286,CASH_OUT,204778.36,C89529092,0.0,0.0,C1292179840,1052808.79,1257587.15,0,0
